year,geo,vehicle_type,origin_of_manufacture,sales,value
1978,Prince Edward Island,Trucks,North America,Units,0
1978,Prince Edward Island,Trucks,"Total, country of manufacture",Dollars,0
1978,Prince Edward Island,Trucks,"Total, country of manufacture",Units,0
1978,Prince Edward Island,Trucks,"Total, overseas",Dollars,0
1978,Prince Edward Island,Trucks,"Total, overseas",Units,0
1978,Quebec,Passenger cars,Japan,Dollars,149448000
1978,Quebec,Passenger cars,Japan,Units,29893
1978,Quebec,Passenger cars,North America,Dollars,1455795000
1978,Quebec,Passenger cars,North America,Units,222937
1978,Quebec,Passenger cars,Other countries,Dollars,112378000
1978,Quebec,Passenger cars,Other countries,Units,16617
1978,Quebec,Passenger cars,"Total, country of manufacture",Dollars,0
1978,Quebec,Passenger cars,"Total, country of manufacture",Units,0
1978,Quebec,Passenger cars,"Total, overseas",Dollars,261826000
1978,Quebec,Passenger cars,"Total, overseas",Units,46510
1978,Quebec,"Total, new motor vehicles","Total, country of manufacture",Dollars,2286286000
1978,Quebec,"Total, new motor vehicles","Total, country of manufacture",Units,332197
1978,Quebec,Trucks,North America,Dollars,559905000
1978,Quebec,Trucks,North America,Units,61262
1978,Quebec,Trucks,"Total, country of manufacture",Dollars,0
1978,Quebec,Trucks,"Total, country of manufacture",Units,0
1978,Quebec,Trucks,"Total, overseas",Dollars,8760000
1978,Quebec,Trucks,"Total, overseas",Units,1488
1978,Saskatchewan,Passenger cars,Japan,Dollars,17017000
1978,Saskatchewan,Passenger cars,Japan,Units,3257
1978,Saskatchewan,Passenger cars,North America,Dollars,192405000
1978,Saskatchewan,Passenger cars,North America,Units,27329
1978,Saskatchewan,Passenger cars,Other countries,Dollars,8364000
1978,Saskatchewan,Passenger cars,Other countries,Units,1166
1978,Saskatchewan,Passenger cars,"Total, country of manufacture",Dollars,0
1978,Saskatchewan,Passenger cars,"Total, country of manufacture",Units,0
1978,Saskatchewan,Passenger cars,"Total, overseas",Dollars,25381000
1978,Saskatchewan,Passenger cars,"Total, overseas",Units,4423
1978,Saskatchewan,"Total, new motor vehicles","Total, country of manufacture",Dollars,411766000
1978,Saskatchewan,"Total, new motor vehicles","Total, country of manufacture",Units,55132
1978,Saskatchewan,Trucks,North America,Dollars,145142000
1978,Saskatchewan,Trucks,North America,Units,17160
1978,Saskatchewan,Trucks,"Total, country of manufacture",Dollars,0
1978,Saskatchewan,Trucks,"Total, country of manufacture",Units,0
1978,Saskatchewan,Trucks,"Total, overseas",Dollars,3242000
1978,Saskatchewan,Trucks,"Total, overseas",Units,584
1979,Alberta,Passenger cars,Japan,Dollars,51821000
1979,Alberta,Passenger cars,Japan,Units,7813
1979,Alberta,Passenger cars,North America,Dollars,614559000
1979,Alberta,Passenger cars,North America,Units,76607
1979,Alberta,Passenger cars,Other countries,Dollars,39584000
1979,Alberta,Passenger cars,Other countries,Units,4027
1979,Alberta,Passenger cars,"Total, country of manufacture",Dollars,0
1979,Alberta,Passenger cars,"Total, country of manufacture",Units,0
1979,Alberta,Passenger cars,"Total, overseas",Dollars,91405000
1979,Alberta,Passenger cars,"Total, overseas",Units,11840
1979,Alberta,"Total, new motor vehicles","Total, country of manufacture",Dollars,1579156000
1979,Alberta,"Total, new motor vehicles","Total, country of manufacture",Units,167933
1979,Alberta,Trucks,North America,Dollars,858629000
1979,Alberta,Trucks,North America,Units,77468
1979,Alberta,Trucks,"Total, country of manufacture",Dollars,0
1979,Alberta,Trucks,"Total, country of manufacture",Units,0
1979,Alberta,Trucks,"Total, overseas",Dollars,14563000
1979,Alberta,Trucks,"Total, overseas",Units,2018
1979,British Columbia and the Territories,Passenger cars,Japan,Dollars,86965000
1979,British Columbia and the Territories,Passenger cars,Japan,Units,13550
1979,British Columbia and the Territories,Passenger cars,North America,Dollars,526262000
1979,British Columbia and the Territories,Passenger cars,North America,Units,69665
1979,British Columbia and the Territories,Passenger cars,Other countries,Dollars,77594000
1979,British Columbia and the Territories,Passenger cars,Other countries,Units,8417
1979,British Columbia and the Territories,Passenger cars,"Total, country of manufacture",Dollars,0
1979,British Columbia and the Territories,Passenger cars,"Total, country of manufacture",Units,0
1979,British Columbia and the Territories,Passenger cars,"Total, overseas",Dollars,164559000
1979,British Columbia and the Territories,Passenger cars,"Total, overseas",Units,21967
1979,British Columbia and the Territories,"Total, new motor vehicles","Total, country of manufacture",Dollars,1225263000
1979,British Columbia and the Territories,"Total, new motor vehicles","Total, country of manufacture",Units,142639
1979,British Columbia and the Territories,Trucks,North America,Dollars,508850000
1979,British Columbia and the Territories,Trucks,North America,Units,47474
1979,British Columbia and the Territories,Trucks,"Total, country of manufacture",Dollars,0
1979,British Columbia and the Territories,Trucks,"Total, country of manufacture",Units,0
1979,British Columbia and the Territories,Trucks,"Total, overseas",Dollars,25592000
1979,British Columbia and the Territories,Trucks,"Total, overseas",Units,3533
1979,Canada,Passenger cars,Japan,Dollars,510213000
1979,Canada,Passenger cars,Japan,Units,79879
1979,Canada,Passenger cars,North America,Dollars,6355127000
1979,Canada,Passenger cars,North America,Units,863554
1979,Canada,Passenger cars,Other countries,Dollars,478834000
1979,Canada,Passenger cars,Other countries,Units,59575
1979,Canada,Passenger cars,"Total, country of manufacture",Dollars,7344174000
1979,Canada,Passenger cars,"Total, country of manufacture",Units,1003008
1979,Canada,Passenger cars,"Total, overseas",Dollars,989047000
1979,Canada,Passenger cars,"Total, overseas",Units,139454
1979,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,11481982000
1979,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,1396402
1979,Canada,Trucks,North America,Dollars,4053773000
1979,Canada,Trucks,North America,Units,381562
1979,Canada,Trucks,"Total, country of manufacture",Dollars,4137808000
1979,Canada,Trucks,"Total, country of manufacture",Units,393394
1979,Canada,Trucks,"Total, overseas",Dollars,84035000
1979,Canada,Trucks,"Total, overseas",Units,11832
1979,Manitoba,Passenger cars,Japan,Dollars,13246000
1979,Manitoba,Passenger cars,Japan,Units,2076
1979,Manitoba,Passenger cars,North America,Dollars,232285000
1979,Manitoba,Passenger cars,North America,Units,30025
1979,Manitoba,Passenger cars,Other countries,Dollars,12997000
1979,Manitoba,Passenger cars,Other countries,Units,1486
1979,Manitoba,Passenger cars,"Total, country of manufacture",Dollars,0
1979,Manitoba,Passenger cars,"Total, country of manufacture",Units,0
1979,Manitoba,Passenger cars,"Total, overseas",Dollars,26243000
1979,Manitoba,Passenger cars,"Total, overseas",Units,3562
1979,Manitoba,"Total, new motor vehicles","Total, country of manufacture",Dollars,476078000
1979,Manitoba,"Total, new motor vehicles","Total, country of manufacture",Units,54226
1979,Manitoba,Trucks,North America,Dollars,214232000
1979,Manitoba,Trucks,North America,Units,20163
1979,Manitoba,Trucks,"Total, country of manufacture",Dollars,0
1979,Manitoba,Trucks,"Total, country of manufacture",Units,0
1979,Manitoba,Trucks,"Total, overseas",Dollars,3318000
1979,Manitoba,Trucks,"Total, overseas",Units,476
1979,New Brunswick,Passenger cars,Japan,Dollars,9722000
1979,New Brunswick,Passenger cars,Japan,Units,1608
1979,New Brunswick,Passenger cars,North America,Dollars,160670000
1979,New Brunswick,Passenger cars,North America,Units,23620
1979,New Brunswick,Passenger cars,Other countries,Dollars,8763000
1979,New Brunswick,Passenger cars,Other countries,Units,1276
1979,New Brunswick,Passenger cars,"Total, country of manufacture",Dollars,0
1979,New Brunswick,Passenger cars,"Total, country of manufacture",Units,0
1979,New Brunswick,Passenger cars,"Total, overseas",Dollars,18485000
1979,New Brunswick,Passenger cars,"Total, overseas",Units,2884
1979,New Brunswick,"Total, new motor vehicles","Total, country of manufacture",Dollars,297826000
1979,New Brunswick,"Total, new motor vehicles","Total, country of manufacture",Units,37986
1979,New Brunswick,Trucks,North America,Dollars,116490000
1979,New Brunswick,Trucks,North America,Units,11163
1979,New Brunswick,Trucks,"Total, country of manufacture",Dollars,0
1979,New Brunswick,Trucks,"Total, country of manufacture",Units,0
1979,New Brunswick,Trucks,"Total, overseas",Dollars,2181000
1979,New Brunswick,Trucks,"Total, overseas",Units,319
1979,Newfoundland and Labrador,Passenger cars,Japan,Dollars,0
1979,Newfoundland and Labrador,Passenger cars,Japan,Units,0
1979,Newfoundland and Labrador,Passenger cars,North America,Dollars,101983000
1979,Newfoundland and Labrador,Passenger cars,North America,Units,14987
1979,Newfoundland and Labrador,Passenger cars,Other countries,Dollars,0
1979,Newfoundland and Labrador,Passenger cars,Other countries,Units,0
1979,Newfoundland and Labrador,Passenger cars,"Total, country of manufacture",Dollars,0
1979,Newfoundland and Labrador,Passenger cars,"Total, country of manufacture",Units,0
1979,Newfoundland and Labrador,Passenger cars,"Total, overseas",Dollars,8832000
1979,Newfoundland and Labrador,Passenger cars,"Total, overseas",Units,1398
1979,Newfoundland and Labrador,"Total, new motor vehicles","Total, country of manufacture",Dollars,195969000
1979,Newfoundland and Labrador,"Total, new motor vehicles","Total, country of manufacture",Units,25796
1979,Newfoundland and Labrador,Trucks,North America,Dollars,0
1979,Newfoundland and Labrador,Trucks,North America,Units,0
1979,Newfoundland and Labrador,Trucks,"Total, country of manufacture",Dollars,0
1979,Newfoundland and Labrador,Trucks,"Total, country of manufacture",Units,0
1979,Newfoundland and Labrador,Trucks,"Total, overseas",Dollars,0
1979,Newfoundland and Labrador,Trucks,"Total, overseas",Units,0
1979,Nova Scotia,Passenger cars,Japan,Dollars,14462000
1979,Nova Scotia,Passenger cars,Japan,Units,2355
1979,Nova Scotia,Passenger cars,North America,Dollars,205343000
1979,Nova Scotia,Passenger cars,North America,Units,30137
1979,Nova Scotia,Passenger cars,Other countries,Dollars,8435000
1979,Nova Scotia,Passenger cars,Other countries,Units,1275
1979,Nova Scotia,Passenger cars,"Total, country of manufacture",Dollars,0
1979,Nova Scotia,Passenger cars,"Total, country of manufacture",Units,0
1979,Nova Scotia,Passenger cars,"Total, overseas",Dollars,23563000
1979,Nova Scotia,Passenger cars,"Total, overseas",Units,3731
1979,Nova Scotia,"Total, new motor vehicles","Total, country of manufacture",Dollars,336806000
1979,Nova Scotia,"Total, new motor vehicles","Total, country of manufacture",Units,46331
1979,Nova Scotia,Trucks,North America,Dollars,104694000
1979,Nova Scotia,Trucks,North America,Units,11987
1979,Nova Scotia,Trucks,"Total, country of manufacture",Dollars,0
1979,Nova Scotia,Trucks,"Total, country of manufacture",Units,0
1979,Nova Scotia,Trucks,"Total, overseas",Dollars,3206000
1979,Nova Scotia,Trucks,"Total, overseas",Units,476
1979,Ontario,Passenger cars,Japan,Dollars,165569000
1979,Ontario,Passenger cars,Japan,Units,26009
1979,Ontario,Passenger cars,North America,Dollars,2402979000
1979,Ontario,Passenger cars,North America,Units,329488
1979,Ontario,Passenger cars,Other countries,Dollars,193779000
1979,Ontario,Passenger cars,Other countries,Units,24933
1979,Ontario,Passenger cars,"Total, country of manufacture",Dollars,0
1979,Ontario,Passenger cars,"Total, country of manufacture",Units,0
1979,Ontario,Passenger cars,"Total, overseas",Dollars,359349000
1979,Ontario,Passenger cars,"Total, overseas",Units,50942
1979,Ontario,"Total, new motor vehicles","Total, country of manufacture",Dollars,3935584000
1979,Ontario,"Total, new motor vehicles","Total, country of manufacture",Units,493917
1979,Ontario,Trucks,North America,Dollars,1156781000
1979,Ontario,Trucks,North America,Units,111145
1979,Ontario,Trucks,"Total, country of manufacture",Dollars,0
1979,Ontario,Trucks,"Total, country of manufacture",Units,0
1979,Ontario,Trucks,"Total, overseas",Dollars,16475000
1979,Ontario,Trucks,"Total, overseas",Units,2342
1979,Prince Edward Island,Passenger cars,Japan,Dollars,0
1979,Prince Edward Island,Passenger cars,Japan,Units,0
1979,Prince Edward Island,Passenger cars,North America,Dollars,28526000
1979,Prince Edward Island,Passenger cars,North America,Units,4199
1979,Prince Edward Island,Passenger cars,Other countries,Dollars,0
1979,Prince Edward Island,Passenger cars,Other countries,Units,0
1979,Prince Edward Island,Passenger cars,"Total, country of manufacture",Dollars,0
1979,Prince Edward Island,Passenger cars,"Total, country of manufacture",Units,0
1979,Prince Edward Island,Passenger cars,"Total, overseas",Dollars,3895000
1979,Prince Edward Island,Passenger cars,"Total, overseas",Units,641
1979,Prince Edward Island,"Total, new motor vehicles","Total, country of manufacture",Dollars,47220000
1979,Prince Edward Island,"Total, new motor vehicles","Total, country of manufacture",Units,6553
1979,Prince Edward Island,Trucks,North America,Dollars,0
1979,Prince Edward Island,Trucks,North America,Units,0
1979,Prince Edward Island,Trucks,"Total, country of manufacture",Dollars,0
1979,Prince Edward Island,Trucks,"Total, country of manufacture",Units,0
1979,Prince Edward Island,Trucks,"Total, overseas",Dollars,0
1979,Prince Edward Island,Trucks,"Total, overseas",Units,0
1979,Quebec,Passenger cars,Japan,Dollars,146627000
1979,Quebec,Passenger cars,Japan,Units,23036
1979,Quebec,Passenger cars,North America,Dollars,1870092000
1979,Quebec,Passenger cars,North America,Units,258266
1979,Quebec,Passenger cars,Other countries,Dollars,125611000
1979,Quebec,Passenger cars,Other countries,Units,16518
1979,Quebec,Passenger cars,"Total, country of manufacture",Dollars,0
1979,Quebec,Passenger cars,"Total, country of manufacture",Units,0
1979,Quebec,Passenger cars,"Total, overseas",Dollars,272238000
1979,Quebec,Passenger cars,"Total, overseas",Units,39554
1979,Quebec,"Total, new motor vehicles","Total, country of manufacture",Dollars,2894738000
1979,Quebec,"Total, new motor vehicles","Total, country of manufacture",Units,365928
1979,Quebec,Trucks,North America,Dollars,740212000
1979,Quebec,Trucks,North America,Units,66393
1979,Quebec,Trucks,"Total, country of manufacture",Dollars,0
1979,Quebec,Trucks,"Total, country of manufacture",Units,0
1979,Quebec,Trucks,"Total, overseas",Dollars,12196000
1979,Quebec,Trucks,"Total, overseas",Units,1715
1979,Saskatchewan,Passenger cars,Japan,Dollars,13379000
1979,Saskatchewan,Passenger cars,Japan,Units,2060
1979,Saskatchewan,Passenger cars,North America,Dollars,212428000
1979,Saskatchewan,Passenger cars,North America,Units,26560
1979,Saskatchewan,Passenger cars,Other countries,Dollars,7100000
1979,Saskatchewan,Passenger cars,Other countries,Units,875
1979,Saskatchewan,Passenger cars,"Total, country of manufacture",Dollars,0
1979,Saskatchewan,Passenger cars,"Total, country of manufacture",Units,0
1979,Saskatchewan,Passenger cars,"Total, overseas",Dollars,20478000
1979,Saskatchewan,Passenger cars,"Total, overseas",Units,2935
1979,Saskatchewan,"Total, new motor vehicles","Total, country of manufacture",Dollars,493342000
1979,Saskatchewan,"Total, new motor vehicles","Total, country of manufacture",Units,55093
1979,Saskatchewan,Trucks,North America,Dollars,256058000
1979,Saskatchewan,Trucks,North America,Units,24956
1979,Saskatchewan,Trucks,"Total, country of manufacture",Dollars,0
1979,Saskatchewan,Trucks,"Total, country of manufacture",Units,0
1979,Saskatchewan,Trucks,"Total, overseas",Dollars,4378000
1979,Saskatchewan,Trucks,"Total, overseas",Units,642
1980,Alberta,Passenger cars,Japan,Dollars,89772000
1980,Alberta,Passenger cars,Japan,Units,13236
1980,Alberta,Passenger cars,North America,Dollars,673353000
1980,Alberta,Passenger cars,North America,Units,74609
1980,Alberta,Passenger cars,Other countries,Dollars,45491000
1980,Alberta,Passenger cars,Other countries,Units,3537
1980,Alberta,Passenger cars,"Total, country of manufacture",Dollars,0
1980,Alberta,Passenger cars,"Total, country of manufacture",Units,0
1980,Alberta,Passenger cars,"Total, overseas",Dollars,135263000
1980,Alberta,Passenger cars,"Total, overseas",Units,16773
1980,Alberta,"Total, new motor vehicles","Total, country of manufacture",Dollars,1728770000
1980,Alberta,"Total, new motor vehicles","Total, country of manufacture",Units,165848
1980,Alberta,Trucks,North America,Dollars,892981000
1980,Alberta,Trucks,North America,Units,70900
1980,Alberta,Trucks,"Total, country of manufacture",Dollars,0
1980,Alberta,Trucks,"Total, country of manufacture",Units,0
1980,Alberta,Trucks,"Total, overseas",Dollars,27173000
1980,Alberta,Trucks,"Total, overseas",Units,3566
1980,British Columbia and the Territories,Passenger cars,Japan,Dollars,171395000
1980,British Columbia and the Territories,Passenger cars,Japan,Units,25669
1980,British Columbia and the Territories,Passenger cars,North America,Dollars,586515000
1980,British Columbia and the Territories,Passenger cars,North America,Units,69724
1980,British Columbia and the Territories,Passenger cars,Other countries,Dollars,92474000
1980,British Columbia and the Territories,Passenger cars,Other countries,Units,7307
1980,British Columbia and the Territories,Passenger cars,"Total, country of manufacture",Dollars,0
1980,British Columbia and the Territories,Passenger cars,"Total, country of manufacture",Units,0
1980,British Columbia and the Territories,Passenger cars,"Total, overseas",Dollars,263869000
1980,British Columbia and the Territories,Passenger cars,"Total, overseas",Units,32976
1980,British Columbia and the Territories,"Total, new motor vehicles","Total, country of manufacture",Dollars,1432331000
1980,British Columbia and the Territories,"Total, new motor vehicles","Total, country of manufacture",Units,154055
1980,British Columbia and the Territories,Trucks,North America,Dollars,529864000
1980,British Columbia and the Territories,Trucks,North America,Units,44546
1980,British Columbia and the Territories,Trucks,"Total, country of manufacture",Dollars,0
1980,British Columbia and the Territories,Trucks,"Total, country of manufacture",Units,0
1980,British Columbia and the Territories,Trucks,"Total, overseas",Dollars,52083000
1980,British Columbia and the Territories,Trucks,"Total, overseas",Units,6809
1980,Canada,Passenger cars,Japan,Dollars,914142000
1980,Canada,Passenger cars,Japan,Units,138107
1980,Canada,Passenger cars,North America,Dollars,6069407000
1980,Canada,Passenger cars,North America,Units,740767
1980,Canada,Passenger cars,Other countries,Dollars,534352000
1980,Canada,Passenger cars,Other countries,Units,53186
1980,Canada,Passenger cars,"Total, country of manufacture",Dollars,7517901000
1980,Canada,Passenger cars,"Total, country of manufacture",Units,932060
1980,Canada,Passenger cars,"Total, overseas",Dollars,1448494000
1980,Canada,Passenger cars,"Total, overseas",Units,191293
1980,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,11378604000
1980,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,1263807
1980,Canada,Trucks,North America,Dollars,3698247000
1980,Canada,Trucks,North America,Units,310273
1980,Canada,Trucks,"Total, country of manufacture",Dollars,3860703000
1980,Canada,Trucks,"Total, country of manufacture",Units,331747
1980,Canada,Trucks,"Total, overseas",Dollars,162456000
1980,Canada,Trucks,"Total, overseas",Units,21474
1980,Manitoba,Passenger cars,Japan,Dollars,23544000
1980,Manitoba,Passenger cars,Japan,Units,3527
1980,Manitoba,Passenger cars,North America,Dollars,237361000
1980,Manitoba,Passenger cars,North America,Units,27975
1980,Manitoba,Passenger cars,Other countries,Dollars,13240000
1980,Manitoba,Passenger cars,Other countries,Units,1289
1980,Manitoba,Passenger cars,"Total, country of manufacture",Dollars,0
1980,Manitoba,Passenger cars,"Total, country of manufacture",Units,0
1980,Manitoba,Passenger cars,"Total, overseas",Dollars,36784000
1980,Manitoba,Passenger cars,"Total, overseas",Units,4816
1980,Manitoba,"Total, new motor vehicles","Total, country of manufacture",Dollars,479392000
1980,Manitoba,"Total, new motor vehicles","Total, country of manufacture",Units,49879
1980,Manitoba,Trucks,North America,Dollars,199055000
1980,Manitoba,Trucks,North America,Units,16262
1980,Manitoba,Trucks,"Total, country of manufacture",Dollars,0
1980,Manitoba,Trucks,"Total, country of manufacture",Units,0
1980,Manitoba,Trucks,"Total, overseas",Dollars,6192000
1980,Manitoba,Trucks,"Total, overseas",Units,826
1980,New Brunswick,Passenger cars,Japan,Dollars,16332000
1980,New Brunswick,Passenger cars,Japan,Units,2596
1980,New Brunswick,Passenger cars,North America,Dollars,153214000
1980,New Brunswick,Passenger cars,North America,Units,20104
1980,New Brunswick,Passenger cars,Other countries,Dollars,9301000
1980,New Brunswick,Passenger cars,Other countries,Units,1237
1980,New Brunswick,Passenger cars,"Total, country of manufacture",Dollars,0
1980,New Brunswick,Passenger cars,"Total, country of manufacture",Units,0
1980,New Brunswick,Passenger cars,"Total, overseas",Dollars,25633000
1980,New Brunswick,Passenger cars,"Total, overseas",Units,3833
1980,New Brunswick,"Total, new motor vehicles","Total, country of manufacture",Dollars,285604000
1980,New Brunswick,"Total, new motor vehicles","Total, country of manufacture",Units,34086
1980,New Brunswick,Trucks,North America,Dollars,102362000
1980,New Brunswick,Trucks,North America,Units,9563
1980,New Brunswick,Trucks,"Total, country of manufacture",Dollars,0
1980,New Brunswick,Trucks,"Total, country of manufacture",Units,0
1980,New Brunswick,Trucks,"Total, overseas",Dollars,4395000
1980,New Brunswick,Trucks,"Total, overseas",Units,586
1980,Newfoundland and Labrador,Passenger cars,Japan,Dollars,10342000
1980,Newfoundland and Labrador,Passenger cars,Japan,Units,1639
1980,Newfoundland and Labrador,Passenger cars,North America,Dollars,108156000
1980,Newfoundland and Labrador,Passenger cars,North America,Units,14156
1980,Newfoundland and Labrador,Passenger cars,Other countries,Dollars,3207000
1980,Newfoundland and Labrador,Passenger cars,Other countries,Units,376
1980,Newfoundland and Labrador,Passenger cars,"Total, country of manufacture",Dollars,0
1980,Newfoundland and Labrador,Passenger cars,"Total, country of manufacture",Units,0
1980,Newfoundland and Labrador,Passenger cars,"Total, overseas",Dollars,13549000
1980,Newfoundland and Labrador,Passenger cars,"Total, overseas",Units,2015
1980,Newfoundland and Labrador,"Total, new motor vehicles","Total, country of manufacture",Dollars,200600000
1980,Newfoundland and Labrador,"Total, new motor vehicles","Total, country of manufacture",Units,24352
1980,Newfoundland and Labrador,Trucks,North America,Dollars,75612000
1980,Newfoundland and Labrador,Trucks,North America,Units,7734
1980,Newfoundland and Labrador,Trucks,"Total, country of manufacture",Dollars,0
1980,Newfoundland and Labrador,Trucks,"Total, country of manufacture",Units,0
1980,Newfoundland and Labrador,Trucks,"Total, overseas",Dollars,3283000
1980,Newfoundland and Labrador,Trucks,"Total, overseas",Units,447
1980,Nova Scotia,Passenger cars,Japan,Dollars,25815000
1980,Nova Scotia,Passenger cars,Japan,Units,4080
1980,Nova Scotia,Passenger cars,North America,Dollars,202415000
1980,Nova Scotia,Passenger cars,North America,Units,26477
1980,Nova Scotia,Passenger cars,Other countries,Dollars,9158000
1980,Nova Scotia,Passenger cars,Other countries,Units,1186
1980,Nova Scotia,Passenger cars,"Total, country of manufacture",Dollars,0
1980,Nova Scotia,Passenger cars,"Total, country of manufacture",Units,0
1980,Nova Scotia,Passenger cars,"Total, overseas",Dollars,34973000
1980,Nova Scotia,Passenger cars,"Total, overseas",Units,5266
1980,Nova Scotia,"Total, new motor vehicles","Total, country of manufacture",Dollars,336093000
1980,Nova Scotia,"Total, new motor vehicles","Total, country of manufacture",Units,42046
1980,Nova Scotia,Trucks,North America,Dollars,93658000
1980,Nova Scotia,Trucks,North America,Units,9610
1980,Nova Scotia,Trucks,"Total, country of manufacture",Dollars,0
1980,Nova Scotia,Trucks,"Total, country of manufacture",Units,0
1980,Nova Scotia,Trucks,"Total, overseas",Dollars,5047000
1980,Nova Scotia,Trucks,"Total, overseas",Units,693
1980,Ontario,Passenger cars,Japan,Dollars,294973000
1980,Ontario,Passenger cars,Japan,Units,44359
1980,Ontario,Passenger cars,North America,Dollars,2199242000
1980,Ontario,Passenger cars,North America,Units,272772
1980,Ontario,Passenger cars,Other countries,Dollars,193743000
1980,Ontario,Passenger cars,Other countries,Units,18684
1980,Ontario,Passenger cars,"Total, country of manufacture",Dollars,0
1980,Ontario,Passenger cars,"Total, country of manufacture",Units,0
1980,Ontario,Passenger cars,"Total, overseas",Dollars,488716000
1980,Ontario,Passenger cars,"Total, overseas",Units,63043
1980,Ontario,"Total, new motor vehicles","Total, country of manufacture",Dollars,3661103000
1980,Ontario,"Total, new motor vehicles","Total, country of manufacture",Units,420831
1980,Ontario,Trucks,North America,Dollars,940980000
1980,Ontario,Trucks,North America,Units,80806
1980,Ontario,Trucks,"Total, country of manufacture",Dollars,0
1980,Ontario,Trucks,"Total, country of manufacture",Units,0
1980,Ontario,Trucks,"Total, overseas",Dollars,32165000
1980,Ontario,Trucks,"Total, overseas",Units,4210
1980,Prince Edward Island,Passenger cars,Japan,Dollars,3567000
1980,Prince Edward Island,Passenger cars,Japan,Units,568
1980,Prince Edward Island,Passenger cars,North America,Dollars,24648000
1980,Prince Edward Island,Passenger cars,North America,Units,3228
1980,Prince Edward Island,Passenger cars,Other countries,Dollars,1120000
1980,Prince Edward Island,Passenger cars,Other countries,Units,175
1980,Prince Edward Island,Passenger cars,"Total, country of manufacture",Dollars,0
1980,Prince Edward Island,Passenger cars,"Total, country of manufacture",Units,0
1980,Prince Edward Island,Passenger cars,"Total, overseas",Dollars,4687000
1980,Prince Edward Island,Passenger cars,"Total, overseas",Units,743
1980,Prince Edward Island,"Total, new motor vehicles","Total, country of manufacture",Dollars,42731000
1980,Prince Edward Island,"Total, new motor vehicles","Total, country of manufacture",Units,5388
1980,Prince Edward Island,Trucks,North America,Dollars,12760000
1980,Prince Edward Island,Trucks,North America,Units,1324
1980,Prince Edward Island,Trucks,"Total, country of manufacture",Dollars,0
1980,Prince Edward Island,Trucks,"Total, country of manufacture",Units,0
1980,Prince Edward Island,Trucks,"Total, overseas",Dollars,636000
1980,Prince Edward Island,Trucks,"Total, overseas",Units,93
1980,Quebec,Passenger cars,Japan,Dollars,257078000
1980,Quebec,Passenger cars,Japan,Units,39292
1980,Quebec,Passenger cars,North America,Dollars,1660733000
1980,Quebec,Passenger cars,North America,Units,206238
1980,Quebec,Passenger cars,Other countries,Dollars,158370000
1980,Quebec,Passenger cars,Other countries,Units,18603
1980,Quebec,Passenger cars,"Total, country of manufacture",Dollars,0
1980,Quebec,Passenger cars,"Total, country of manufacture",Units,0
1980,Quebec,Passenger cars,"Total, overseas",Dollars,415448000
1980,Quebec,Passenger cars,"Total, overseas",Units,57895
1980,Quebec,"Total, new motor vehicles","Total, country of manufacture",Dollars,2701682000
1980,Quebec,"Total, new motor vehicles","Total, country of manufacture",Units,315344
1980,Quebec,Trucks,North America,Dollars,601361000
1980,Quebec,Trucks,North America,Units,47962
1980,Quebec,Trucks,"Total, country of manufacture",Dollars,0
1980,Quebec,Trucks,"Total, country of manufacture",Units,0
1980,Quebec,Trucks,"Total, overseas",Dollars,24140000
1980,Quebec,Trucks,"Total, overseas",Units,3249
1980,Saskatchewan,Passenger cars,Japan,Dollars,21324000
1980,Saskatchewan,Passenger cars,Japan,Units,3141
1980,Saskatchewan,Passenger cars,North America,Dollars,223770000
1980,Saskatchewan,Passenger cars,North America,Units,25484
1980,Saskatchewan,Passenger cars,Other countries,Dollars,8248000
1980,Saskatchewan,Passenger cars,Other countries,Units,792
1980,Saskatchewan,Passenger cars,"Total, country of manufacture",Dollars,0
1980,Saskatchewan,Passenger cars,"Total, country of manufacture",Units,0
1980,Saskatchewan,Passenger cars,"Total, overseas",Dollars,29572000
1980,Saskatchewan,Passenger cars,"Total, overseas",Units,3933
1980,Saskatchewan,"Total, new motor vehicles","Total, country of manufacture",Dollars,510298000
1980,Saskatchewan,"Total, new motor vehicles","Total, country of manufacture",Units,51978
1980,Saskatchewan,Trucks,North America,Dollars,249614000
1980,Saskatchewan,Trucks,North America,Units,21566
1980,Saskatchewan,Trucks,"Total, country of manufacture",Dollars,0
1980,Saskatchewan,Trucks,"Total, country of manufacture",Units,0
1980,Saskatchewan,Trucks,"Total, overseas",Dollars,7342000
1980,Saskatchewan,Trucks,"Total, overseas",Units,995
1981,Alberta,Passenger cars,Japan,Dollars,149244000
1981,Alberta,Passenger cars,Japan,Units,18569
1981,Alberta,Passenger cars,North America,Dollars,706160000
1981,Alberta,Passenger cars,North America,Units,67928
1981,Alberta,Passenger cars,Other countries,Dollars,58213000
1981,Alberta,Passenger cars,Other countries,Units,3546
1981,Alberta,Passenger cars,"Total, country of manufacture",Dollars,913617000
1981,Alberta,Passenger cars,"Total, country of manufacture",Units,90043
1981,Alberta,Passenger cars,"Total, overseas",Dollars,207457000
1981,Alberta,Passenger cars,"Total, overseas",Units,22115
