year,geo,vehicle_type,origin_of_manufacture,sales,value
1956,Canada,Passenger cars,"Total, overseas",Units,34169
1956,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,1455375000
1956,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,499921
1956,Canada,Trucks,North America,Dollars,318705000
1956,Canada,Trucks,North America,Units,87843
1956,Canada,Trucks,"Total, country of manufacture",Dollars,326735000
1956,Canada,Trucks,"Total, country of manufacture",Units,91688
1956,Canada,Trucks,"Total, overseas",Dollars,8030000
1956,Canada,Trucks,"Total, overseas",Units,3845
1957,Canada,Passenger cars,North America,Dollars,994723000
1957,Canada,Passenger cars,North America,Units,332590
1957,Canada,Passenger cars,"Total, country of manufacture",Dollars,1087620000
1957,Canada,Passenger cars,"Total, country of manufacture",Units,382023
1957,Canada,Passenger cars,"Total, overseas",Dollars,92897000
1957,Canada,Passenger cars,"Total, overseas",Units,49433
1957,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,1368931000
1957,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,458299
1957,Canada,Trucks,North America,Dollars,271838000
1957,Canada,Trucks,North America,Units,71909
1957,Canada,Trucks,"Total, country of manufacture",Dollars,281311000
1957,Canada,Trucks,"Total, country of manufacture",Units,76276
1957,Canada,Trucks,"Total, overseas",Dollars,9473000
1957,Canada,Trucks,"Total, overseas",Units,4367
1958,Canada,Passenger cars,North America,Dollars,959847000
1958,Canada,Passenger cars,North America,Units,299557
1958,Canada,Passenger cars,"Total, country of manufacture",Dollars,1110724000
1958,Canada,Passenger cars,"Total, country of manufacture",Units,376723
1958,Canada,Passenger cars,"Total, overseas",Dollars,150877000
1958,Canada,Passenger cars,"Total, overseas",Units,77166
1958,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,1365466000
1958,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,444769
1958,Canada,Trucks,North America,Dollars,240346000
1958,Canada,Trucks,North America,Units,61349
1958,Canada,Trucks,"Total, country of manufacture",Dollars,254742000
1958,Canada,Trucks,"Total, country of manufacture",Units,68046
1958,Canada,Trucks,"Total, overseas",Dollars,14396000
1958,Canada,Trucks,"Total, overseas",Units,6697
1959,Canada,Passenger cars,North America,Dollars,1015221000
1959,Canada,Passenger cars,North America,Units,310920
1959,Canada,Passenger cars,"Total, country of manufacture",Dollars,1240961000
1959,Canada,Passenger cars,"Total, country of manufacture",Units,425038
1959,Canada,Passenger cars,"Total, overseas",Dollars,225740000
1959,Canada,Passenger cars,"Total, overseas",Units,114118
1959,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,1540168000
1959,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,502626
1959,Canada,Trucks,North America,Dollars,281859000
1959,Canada,Trucks,North America,Units,69366
1959,Canada,Trucks,"Total, country of manufacture",Dollars,299207000
1959,Canada,Trucks,"Total, country of manufacture",Units,77588
1959,Canada,Trucks,"Total, overseas",Dollars,17348000
1959,Canada,Trucks,"Total, overseas",Units,8222
1960,Canada,Passenger cars,North America,Dollars,1037168000
1960,Canada,Passenger cars,North America,Units,321804
1960,Canada,Passenger cars,"Total, country of manufacture",Dollars,1289073000
1960,Canada,Passenger cars,"Total, country of manufacture",Units,447771
1960,Canada,Passenger cars,"Total, overseas",Dollars,251905000
1960,Canada,Passenger cars,"Total, overseas",Units,125967
1960,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,1574827000
1960,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,523188
1960,Canada,Trucks,North America,Dollars,270698000
1960,Canada,Trucks,North America,Units,68324
1960,Canada,Trucks,"Total, country of manufacture",Dollars,285754000
1960,Canada,Trucks,"Total, country of manufacture",Units,75417
1960,Canada,Trucks,"Total, overseas",Dollars,15056000
1960,Canada,Trucks,"Total, overseas",Units,7093
1961,Alberta,Passenger cars,North America,Dollars,85229000
1961,Alberta,Passenger cars,North America,Units,26496
1961,Alberta,Passenger cars,"Total, overseas",Dollars,10533000
1961,Alberta,Passenger cars,"Total, overseas",Units,5023
1961,British Columbia and the Territories,Passenger cars,North America,Dollars,66213000
1961,British Columbia and the Territories,Passenger cars,North America,Units,20922
1961,British Columbia and the Territories,Passenger cars,"Total, overseas",Dollars,24976000
1961,British Columbia and the Territories,Passenger cars,"Total, overseas",Units,11621
1961,British Columbia and the Territories,Trucks,North America,Dollars,22358000
1961,British Columbia and the Territories,Trucks,North America,Units,5352
1961,British Columbia and the Territories,Trucks,"Total, overseas",Dollars,1649000
1961,British Columbia and the Territories,Trucks,"Total, overseas",Units,706
1961,Canada,Passenger cars,North America,Dollars,1080283000
1961,Canada,Passenger cars,North America,Units,336122
1961,Canada,Passenger cars,"Total, country of manufacture",Dollars,1290026000
1961,Canada,Passenger cars,"Total, country of manufacture",Units,437319
1961,Canada,Passenger cars,"Total, overseas",Dollars,209743000
1961,Canada,Passenger cars,"Total, overseas",Units,101197
1961,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,1551408000
1961,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,511479
1961,Canada,Trucks,North America,Dollars,247944000
1961,Canada,Trucks,North America,Units,68149
1961,Canada,Trucks,"Total, country of manufacture",Dollars,261382000
1961,Canada,Trucks,"Total, country of manufacture",Units,74160
1961,Canada,Trucks,"Total, overseas",Dollars,13438000
1961,Canada,Trucks,"Total, overseas",Units,6011
1961,Manitoba,Passenger cars,North America,Dollars,60416000
1961,Manitoba,Passenger cars,North America,Units,18971
1961,Manitoba,Passenger cars,"Total, overseas",Dollars,5265000
1961,Manitoba,Passenger cars,"Total, overseas",Units,2489
1961,New Brunswick,Passenger cars,North America,Dollars,29025000
1961,New Brunswick,Passenger cars,North America,Units,9253
1961,New Brunswick,Passenger cars,"Total, overseas",Dollars,8760000
1961,New Brunswick,Passenger cars,"Total, overseas",Units,4304
1961,Newfoundland and Labrador,Passenger cars,North America,Dollars,12183000
1961,Newfoundland and Labrador,Passenger cars,North America,Units,3941
1961,Newfoundland and Labrador,Passenger cars,"Total, overseas",Dollars,4964000
1961,Newfoundland and Labrador,Passenger cars,"Total, overseas",Units,2440
1961,Nova Scotia,Passenger cars,North America,Dollars,33568000
1961,Nova Scotia,Passenger cars,North America,Units,10773
1961,Nova Scotia,Passenger cars,"Total, overseas",Dollars,11077000
1961,Nova Scotia,Passenger cars,"Total, overseas",Units,5538
1961,Ontario,Passenger cars,North America,Dollars,463722000
1961,Ontario,Passenger cars,North America,Units,144295
1961,Ontario,Passenger cars,"Total, overseas",Dollars,76718000
1961,Ontario,Passenger cars,"Total, overseas",Units,36747
1961,Ontario,Trucks,North America,Dollars,75161000
1961,Ontario,Trucks,North America,Units,21163
1961,Ontario,Trucks,"Total, overseas",Dollars,4897000
1961,Ontario,Trucks,"Total, overseas",Units,2279
1961,Prince Edward Island,Passenger cars,North America,Dollars,4677000
1961,Prince Edward Island,Passenger cars,North America,Units,1543
1961,Prince Edward Island,Passenger cars,"Total, overseas",Dollars,1235000
1961,Prince Edward Island,Passenger cars,"Total, overseas",Units,618
1961,Quebec,Passenger cars,North America,Dollars,270335000
1961,Quebec,Passenger cars,North America,Units,82679
1961,Quebec,Passenger cars,"Total, overseas",Dollars,61629000
1961,Quebec,Passenger cars,"Total, overseas",Units,30281
1961,Quebec,Trucks,North America,Dollars,63535000
1961,Quebec,Trucks,North America,Units,15617
1961,Quebec,Trucks,"Total, overseas",Dollars,3929000
1961,Quebec,Trucks,"Total, overseas",Units,1720
1961,Saskatchewan,Passenger cars,North America,Dollars,54915000
1961,Saskatchewan,Passenger cars,North America,Units,17249
1961,Saskatchewan,Passenger cars,"Total, overseas",Dollars,4586000
1961,Saskatchewan,Passenger cars,"Total, overseas",Units,2136
1962,Alberta,Passenger cars,North America,Dollars,109031000
1962,Alberta,Passenger cars,North America,Units,34874
1962,Alberta,Passenger cars,"Total, overseas",Dollars,8500000
1962,Alberta,Passenger cars,"Total, overseas",Units,3866
1962,British Columbia and the Territories,Passenger cars,North America,Dollars,98578000
1962,British Columbia and the Territories,Passenger cars,North America,Units,32285
1962,British Columbia and the Territories,Passenger cars,"Total, overseas",Dollars,20493000
1962,British Columbia and the Territories,Passenger cars,"Total, overseas",Units,9295
1962,British Columbia and the Territories,Trucks,North America,Dollars,30911000
1962,British Columbia and the Territories,Trucks,North America,Units,6967
1962,British Columbia and the Territories,Trucks,"Total, overseas",Dollars,1431000
1962,British Columbia and the Territories,Trucks,"Total, overseas",Units,570
1962,Canada,Passenger cars,North America,Dollars,1321990000
1962,Canada,Passenger cars,North America,Units,427127
1962,Canada,Passenger cars,"Total, country of manufacture",Dollars,1482407000
1962,Canada,Passenger cars,"Total, country of manufacture",Units,502565
1962,Canada,Passenger cars,"Total, overseas",Dollars,160417000
1962,Canada,Passenger cars,"Total, overseas",Units,75438
1962,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,1782916000
1962,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,585210
1962,Canada,Trucks,North America,Dollars,290901000
1962,Canada,Trucks,North America,Units,78674
1962,Canada,Trucks,"Total, country of manufacture",Dollars,300509000
1962,Canada,Trucks,"Total, country of manufacture",Units,82645
1962,Canada,Trucks,"Total, overseas",Dollars,9608000
1962,Canada,Trucks,"Total, overseas",Units,3971
1962,Manitoba,Passenger cars,North America,Dollars,63894000
1962,Manitoba,Passenger cars,North America,Units,20631
1962,Manitoba,Passenger cars,"Total, overseas",Dollars,3972000
1962,Manitoba,Passenger cars,"Total, overseas",Units,1805
1962,New Brunswick,Passenger cars,North America,Dollars,34319000
1962,New Brunswick,Passenger cars,North America,Units,11341
1962,New Brunswick,Passenger cars,"Total, overseas",Dollars,6779000
1962,New Brunswick,Passenger cars,"Total, overseas",Units,3299
1962,Newfoundland and Labrador,Passenger cars,North America,Dollars,14380000
1962,Newfoundland and Labrador,Passenger cars,North America,Units,4770
1962,Newfoundland and Labrador,Passenger cars,"Total, overseas",Dollars,4620000
1962,Newfoundland and Labrador,Passenger cars,"Total, overseas",Units,2277
1962,Nova Scotia,Passenger cars,North America,Dollars,39365000
1962,Nova Scotia,Passenger cars,North America,Units,13202
1962,Nova Scotia,Passenger cars,"Total, overseas",Dollars,9664000
1962,Nova Scotia,Passenger cars,"Total, overseas",Units,4799
1962,Ontario,Passenger cars,North America,Dollars,549387000
1962,Ontario,Passenger cars,North America,Units,177575
1962,Ontario,Passenger cars,"Total, overseas",Dollars,55877000
1962,Ontario,Passenger cars,"Total, overseas",Units,25928
1962,Ontario,Trucks,North America,Dollars,90555000
1962,Ontario,Trucks,North America,Units,24911
1962,Ontario,Trucks,"Total, overseas",Dollars,3662000
1962,Ontario,Trucks,"Total, overseas",Units,1519
1962,Prince Edward Island,Passenger cars,North America,Dollars,5433000
1962,Prince Edward Island,Passenger cars,North America,Units,1831
1962,Prince Edward Island,Passenger cars,"Total, overseas",Dollars,932000
1962,Prince Edward Island,Passenger cars,"Total, overseas",Units,454
1962,Quebec,Passenger cars,North America,Dollars,347595000
1962,Quebec,Passenger cars,North America,Units,111213
1962,Quebec,Passenger cars,"Total, overseas",Dollars,45973000
1962,Quebec,Passenger cars,"Total, overseas",Units,22104
1962,Quebec,Trucks,North America,Dollars,70397000
1962,Quebec,Trucks,North America,Units,17624
1962,Quebec,Trucks,"Total, overseas",Dollars,2456000
1962,Quebec,Trucks,"Total, overseas",Units,1019
1962,Saskatchewan,Passenger cars,North America,Dollars,60008000
1962,Saskatchewan,Passenger cars,North America,Units,19405
1962,Saskatchewan,Passenger cars,"Total, overseas",Dollars,3607000
1962,Saskatchewan,Passenger cars,"Total, overseas",Units,1611
1963,Alberta,Passenger cars,North America,Dollars,121687000
1963,Alberta,Passenger cars,North America,Units,38033
1963,Alberta,Passenger cars,"Total, overseas",Dollars,6374000
1963,Alberta,Passenger cars,"Total, overseas",Units,2802
1963,British Columbia and the Territories,Passenger cars,North America,Dollars,126965000
1963,British Columbia and the Territories,Passenger cars,North America,Units,40812
1963,British Columbia and the Territories,Passenger cars,"Total, overseas",Dollars,16006000
1963,British Columbia and the Territories,Passenger cars,"Total, overseas",Units,7074
1963,British Columbia and the Territories,Trucks,North America,Dollars,37459000
1963,British Columbia and the Territories,Trucks,North America,Units,8959
1963,British Columbia and the Territories,Trucks,"Total, overseas",Dollars,1291000
1963,British Columbia and the Territories,Trucks,"Total, overseas",Units,502
1963,Canada,Passenger cars,North America,Dollars,1604675000
1963,Canada,Passenger cars,North America,Units,506311
1963,Canada,Passenger cars,"Total, country of manufacture",Dollars,1716121000
1963,Canada,Passenger cars,"Total, country of manufacture",Units,557787
1963,Canada,Passenger cars,"Total, overseas",Dollars,111446000
1963,Canada,Passenger cars,"Total, overseas",Units,51476
1963,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,2062039000
1963,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,654989
1963,Canada,Trucks,North America,Dollars,338643000
1963,Canada,Trucks,North America,Units,94323
